,Neighborhood,Venue,Latitude,Longitude,Category
0,A. S. Rao Nagar,KFC,17.47504,78.553137,Fast Food Restaurant
1,A. S. Rao Nagar,Parivaar Restaurant,17.47685,78.563525,Indian Restaurant
2,A. S. Rao Nagar,Swagath Grand,17.482022,78.553261,Indian Restaurant
3,A. S. Rao Nagar,McDonald's,17.476961,78.564754,Fast Food Restaurant
4,A.C. Guards,Chicha's,17.403255,78.460152,Hyderabadi Restaurant
5,A.C. Guards,Jewel Of Nizam,17.403869,78.461194,Middle Eastern Restaurant
6,A.C. Guards,Rayalaseema Ruchulu,17.403084,78.463012,South Indian Restaurant
7,A.C. Guards,Shahi Dastarkhwan,17.40264,78.461399,Hyderabadi Restaurant
8,A.C. Guards,Dwarka tiffins,17.405432,78.46373,Vegetarian / Vegan Restaurant
9,A.C. Guards,DineHill,17.405256,78.451674,Indian Restaurant
10,A.C. Guards,Paradise Restaurant,17.403602,78.452848,Indian Restaurant
11,A.C. Guards,Kamat Hotel,17.40433,78.467602,Indian Restaurant
12,A.C. Guards,Hyderabad House,17.402775,78.456992,Indian Restaurant
13,A.C. Guards,Sandarshini,17.40533,78.451656,Indian Restaurant
14,A.C. Guards,Hotel Ashoka,17.403873,78.465551,Indian Restaurant
15,A.C. Guards,Mughal Restaurant,17.406657,78.464224,Indian Restaurant
16,A.C. Guards,Hotel Indu Deluxe,17.406415,78.46665,Indian Restaurant
17,A.C. Guards,Hotel Pakwaan,17.406289,78.46675,Indian Restaurant
18,A.C. Guards,The Chai,17.405365,78.451396,Indian Restaurant
19,A.C. Guards,Astoria Restaurant,17.406413,78.467971,Indian Restaurant
20,Abids,Pragati,17.388088,78.481134,South Indian Restaurant
21,Abids,Santosh Dhaba,17.388485,78.479509,Indian Restaurant
22,Abids,Grand Hotel,17.38776,78.477577,Indian Restaurant
23,Abids,Papaji Ka Dhaba,17.388418,78.479257,Indian Restaurant
24,Abids,KFC,17.39487,78.475902,Fast Food Restaurant
25,Abids,McDonald's,17.39312,78.476075,Fast Food Restaurant
26,Abids,Hotel Luminous One Continent,17.392396,78.4776,Indian Restaurant
27,Adikmet,Surabhi Grand,17.404938,78.515171,Indian Restaurant
28,Aghapura,Al-humdulillah Hotel,17.390728,78.462992,Indian Restaurant
29,"Aliabad, Hyderabad",Star Bawarche,17.3477,78.470613,Asian Restaurant
30,"Aliabad, Hyderabad",Lee's Chinese Restaurant,17.347883,78.466605,Chinese Restaurant
31,Alijah Kotla,Govind Ki Idly,17.364132,78.473771,South Indian Restaurant
32,Alijah Kotla,Pista house,17.356609,78.473637,Indian Restaurant
