,venue,latitude,longitude,price_for_two,price_range,rating,address
0,KFC,17.481579,78.555268,450.0,1.0,4.1,"A 13, G1, PNR SSV Complex, Kapra Muncipality, A S Rao Nagar, Secunderabad"
1,Parivaar,17.477038,78.563681,1000.0,3.0,4.0,"Plot 239, ECIL, Secunderabad"
2,Kinara Grand,17.482196,78.553377,700.0,2.0,3.6,"Opposite ICICI Bank, A S Rao Nagar, Secunderabad"
3,McDonald's,17.476993,78.564792,500.0,2.0,4.0,"456/1p, HPCL Outlet, A S Rao Nagar, Secunderabad"
4,Lassi Shop,17.409005,78.46052,200.0,1.0,3.5,"6S 2S, 146/A/4, Opposite Shadan College, Chintal Basti Bus Stop, Khairatabad, Hyderabad"
5,Jewel of Nizam - The Golkonda Hotel,17.404361,78.454107,2200.0,4.0,4.3,"The Golkonda Hotel, 10-1-124, Banjara Hills, Masab Tank, Hyderabad"
6,Good Cow Cafe,17.431836,78.408325,900.0,2.0,4.1,"Plot 479/B, Road 21, Near Rayalaseema Ruchulu, Jubilee Hills, Hyderabad"
7,Shahi Dastarkhwan,17.402515,78.461426,800.0,2.0,4.2,"Mustafa Apartment, Opposite Jamuna Ganga Hotel, Lakdikapul, Hyderabad"
8,Dwaraka Tiffins,17.405375,78.463669,300.0,1.0,3.4,"Hotel Rukmini Riviera, Opposite Gobal Hospital, Lakdikapul, Hyderabad"
9,Dine Hill,17.405309,78.451687,600.0,2.0,4.0,"One Downing Street, Masab Tank, Hyderabad"
10,Paradise Biryani,17.403812,78.453018,700.0,2.0,4.0,"Cross Road, Masab Tank, Hyderabad"
11,Kamat Hotel,17.404293,78.46739,450.0,1.0,3.8,"6-1-60/1, Secretariat Road, Near RBI, Saifabad, Lakdikapul, Hyderabad"
12,Taiba Bakery & Cafe,17.402575,78.456856,400.0,1.0,4.0,"289/24, Shanti Nagar Colony, Masab Tank, Hyderabad"
13,Hotel Sandarshini,17.405295,78.451698,700.0,2.0,4.1,"10-5-2/B, Masab Tank, Hyderabad"
14,Moonlight Bar - Best Western Ashoka,17.403953,78.46552,950.0,2.0,3.2,"6-1-70, Best Western Ashoka, Lakdikapul, Hyderabad"
15,Mughal Restaurant,17.40638,78.464175,500.0,2.0,3.7,"6-1-1059/1/5-9, Habeeb Mansion, Opposite Vasavi Hospital, Lakdikapul, Hyderabad"
16,Poorna Hotel,17.406073,78.465469,150.0,1.0,4.1,"Opposite Telephone Exchange, Saifabad, Lakdikapul, Hyderabad"
17,Poorna Hotel,17.406073,78.465469,150.0,1.0,4.1,"Opposite Telephone Exchange, Saifabad, Lakdikapul, Hyderabad"
18,Dine Hill,17.405309,78.451687,600.0,2.0,4.0,"One Downing Street, Masab Tank, Hyderabad"
19,Three Cheers Restaurant,17.40698,78.468166,600.0,2.0,3.8,"Shop 17 & 18, Taramandal Complex, Behind Raymond Showroom, Saifabad, Lakdikapul, Hyderabad"
20,Pragati Tiffin Center,17.38813,78.48127,150.0,1.0,4.3,"H V S Road, Hanuman Tekdi, Near Pargati College, Koti, Hyderabad"
21,Santosh Dhaba Exclusive,17.388353,78.479571,500.0,2.0,4.2,"8-2-629/1/2, Hanuman Tekdi, Near Hotel Jaya International Lane, Abids, Hyderabad"
22,Season The Restaurant,17.388091,78.477744,200.0,1.0,0,"Hotel Mandakini, Jaya International, Hanuman Tekdi, Abids, Hyderabad"
23,Sagar Papaji Ka Dhaba,17.388343,78.479209,800.0,2.0,4.1,"Plot 4-1-365/F/1, Reddy Hostel Road, Hanuman Tekdi, Abids, Hyderabad"
24,KFC,17.394995,78.475845,450.0,1.0,4.0,"Gun Foundry, Opposite SBI, Abids, Hyderabad"
25,M S Tiffin & Chat,17.394213,78.476667,100.0,1.0,3.6,"Behind Mayur Kushal Complex, Abids, Hyderabad"
26,Shawarama Time,17.392527,78.477454,200.0,1.0,0,"Atria Mall, Beside Taj Mahal Hotel, Abids, Hyderabad"
27,Surabhi Grand,17.404954,78.515177,800.0,2.0,3.7,"2/2-3, 4th Floor, Sresthta Origin, Shivam Junction, Amberpet, Hyderabad"
28,Alhamdulillah Hotel,17.39072,78.462955,450.0,1.0,4.1,"Door 11-2-284, Habeeb Nagar Road, Aghapura, Nampally, Hyderabad"
29,Celeste - Taj Falaknuma Palace,17.334313,78.467524,7000.0,4.0,4.3,"Taj Falaknuma Palace, Falaknuma, Hyderabad"
30,Al Hashmi Arabian Shawarma & Fast Food,17.347491,78.470497,300.0,1.0,3.4,"Shop 23-5-67, Masjid-E-Kambal Posh, Near Home Land, Syed Ali Chauthra, Charminar, Hyderabad"
31,Govind Dosa,17.364172,78.473804,300.0,1.0,4.1,"Gulzar Hauz, Charminar, Hyderabad"
32,Pista House,17.356443,78.473413,500.0,2.0,4.1,"Shop 20, 4-140, Shalibanda Road, Charminar, Hyderabad"
33,Sherton Bakery,17.391379,78.512213,250.0,1.0,3.6,"Opposite Maharana Pratap Function Hall, Road 6, Amberpet, Hyderabad"
34,Sri Raghavendra Tiffin's,17.399112,78.512221,200.0,1.0,3.6,"Prashanti Nagar, APHB Colony, Amberpet, Hyderabad"
35,Balaji Santosh Family Dhaba,17.39245,78.510702,600.0,2.0,3.8,"Plot 6, Shivam Road, Tilak Nagar, Amberpet, Hyderabad"
36,Papaji-Da-Dhaba,17.397575,78.512088,500.0,2.0,3.9,"Ground Floor, Shivananda Living, Shivam Road, Nallakunta, Hyderabad"
37,Mekong - Marigold Hotel,17.436455,78.454267,3000.0,4.0,4.6,"Green Lands, Begumpet, Hyderabad"
38,Blue Fox,17.437458,78.445975,1000.0,3.0,3.6,"Plot No 3, Regency Plaza, Behind HUDA Mythrivanam, Ameerpet, Hyderabad, Telangana 500016"
39,Kritunga Restaurant,17.438073,78.442817,700.0,2.0,3.8,"8-3-214/2/41, Opposite Maitrivanam, West Srinivas Colony, Ameerpet, Hyderabad"
40,Chop Sticks,17.429886,78.445549,300.0,1.0,4.0,"8-3-960/9, Srinagar Colony, Hyderabad"
41,Minerva Coffee Shop,17.437189,78.445926,800.0,2.0,3.1,"1st Floor,beside Prime Hospital,Near Mythri Vihar, Road 3, Ameerpet, Hyderabad"
42,Santosh Dhaba,17.439484,78.448229,450.0,1.0,3.9,"7-1-404/1, Satyam Theatre Road, Sanabai Temple, Ameerpet, Hyderabad"
43,Good Cow Cafe,17.431836,78.408325,900.0,2.0,4.1,"Plot 479/B, Road 21, Near Rayalaseema Ruchulu, Jubilee Hills, Hyderabad"
44,New Sher-e-Punjab Dhaba,17.438522,78.452065,600.0,2.0,3.7,"Opposite Kanya Gurukul High School, Dharam Karam Road, Ameerpet, Hyderabad"
